"date","Hyundai SANTA-FE","Lexus NX","Mazda CX-30","Mazda CX-5","Toyota RAV4"
"2026-04-01 06:01:07","77350","113029","79101","84574","102173"
"2026-03-31 06:01:11","77350","112362","78792","84190","101879"
"2025-03-11 06:01:36","100724","126055","89140","101622","107556"
"2025-03-10 06:01:36","98839","126513","90012","101728","107559"
"2025-03-09 06:01:26","98839","126513","90809","97539","108190"
"2025-03-08 06:01:25","98839","125965","90215","94529","108396"
"2025-03-07 06:01:31","98839","127061","89415","96238","108537"
"2025-03-06 06:01:25","98839","128026","88837","98871","109259"
"2025-03-05 06:01:34","98839","128065","89087","97182","106999"
"2025-03-04 06:01:29","98839","128048","89334","100659","109622"
"2025-03-03 06:01:27","98839","128610","90052","97819","109971"
"2025-03-02 06:01:32","98839","128050","89652","95942","108315"
"2025-03-01 06:01:23","98839","128511","89983","98483","108163"
"2025-02-28 06:01:30","98839","127846","90739","98570","107803"
"2025-02-27 06:01:26","98839","128144","91177","99771","108475"
"2025-02-26 06:01:32","98839","127229","90955","97023","111445"
"2025-02-25 06:01:42","98839","125539","90955","96386","108964"
"2025-02-24 06:01:29","100049","126058","89996","95945","111191"
"2025-02-23 06:01:25","102066","126058","89999","96524","111887"
"2025-02-22 06:01:29","102066","125916","89709","95634","112778"
"2025-02-21 06:01:31","102466","126134","90618","96063","114629"
"2025-02-20 06:01:27","102466","126495","90073","96563","116087"
"2025-02-19 06:01:23","101200","127120","89755","94658","116577"
"2025-02-18 06:01:27","92500","125700","90446","95848","115214"
"2025-02-17 06:01:22","92500","125672","90011","97274","114045"
"2025-02-16 06:01:28","103749","118977","89947","96446","112709"
"2025-02-15 06:01:26","103749","125858","89912","96522","110073"
"2025-02-14 06:01:26","103749","125189","90096","94705","110817"
"2025-02-13 06:01:21","103749","124166","89577","95227","114702"
"2025-02-12 06:01:24","103749","124500","89202","96405","110483"
"2025-02-11 06:01:29","103749","122294","91171","95331","115267"
"2025-02-10 06:01:32","103749","123221","90412","95309","115909"
"2025-02-09 06:01:31","103749","122535","90958","94774","115333"
"2025-02-08 06:01:27","114999","122652","91143","97073","115418"
"2025-02-07 06:01:35","114999","122890","91449","96359","115155"
"2025-02-06 06:01:32","114999","122386","91349","98321","114739"
"2025-02-05 06:01:29","105999","123817","91768","98084","114717"
"2025-02-04 06:01:31","101999","124046","91874","95309","113905"
"2025-02-03 06:01:24","93666","124063","92434","97763","114662"
"2025-02-02 06:01:26","93666","124273","92678","96631","115292"
"2025-02-01 06:01:29","83000","123530","92574","96695","116824"
"2025-01-31 06:01:23","86666","124262","91653","97408","116523"
"2025-01-30 06:01:31","86666","125126","90946","96334","117032"
"2025-01-29 06:01:26","86666","124520","90312","95918","114631"
"2025-01-28 06:01:24","86666","125069","89140","94251","111463"
"2025-01-27 06:01:29","86666","126420","89865","93675","114746"
"2025-01-26 06:01:22","77250","125788","91058","95189","113318"
"2025-01-25 06:01:30","77250","125460","90915","93680","115885"
"2025-01-24 06:01:32","77250","125460","90165","95640","113288"
"2025-01-23 21:39:40","77250","125460","90165","95640","112847"
"2025-01-13 06:01:30","86316","125817","90480","95374","110835"
"2025-01-12 06:01:27","86316","124388","90645","96136","110617"
"2025-01-11 06:01:41","86316","124700","90942","98562","109739"
"2025-01-10 06:01:23","88650","125112","91308","98981","109186"
"2025-01-09 06:01:29","88650","125976","92467","96543","108367"
"2025-01-08 06:01:23","88650","126515","93779","96633","110553"
"2025-01-07 06:01:25","88650","126592","92247","95664","110308"
"2025-01-06 06:01:26","86980","126592","92041","96631","110236"
"2025-01-05 06:01:27","86980","125121","92854","98507","109739"
"2025-01-04 06:01:25","92580","125121","93514","95984","110096"
"2025-01-03 06:01:27","92580","125688","92174","93121","112296"
"2025-01-02 06:01:29","92580","126092","92509","94746","113292"
"2025-01-01 06:01:27","92580","125365","92449","94243","114163"
"2024-12-31 06:01:28","92580","125519","92765","94011","110324"
"2024-12-30 06:01:29","92580","126796","93737","95496","109853"
"2024-12-29 06:01:26","92580","126939","94115","93940","110240"
"2024-12-28 06:01:29","92580","126939","93893","94168","110831"
"2024-12-27 06:01:25","99975","127358","93643","97012","112970"
"2024-12-26 06:01:33","99975","127358","93643","98397","114079"
"2024-12-25 06:01:28","99975","128041","93355","96539","114226"
"2024-12-24 06:01:22","99975","128041","93824","95812","111740"
"2024-12-23 06:01:23","99975","128025","93965","98574","111652"
"2024-12-22 20:01:18","99975","128025","93561","96887","111652"
"2024-10-08 06:01:32","92750","134700","96079","95773","112102"
"2024-10-07 06:01:27","93900","134547","96567","98602","114530"
"2024-10-06 06:01:40","94900","134547","96401","101064","116403"
"2024-10-05 06:01:51","96880","134025","95907","101756","118610"
"2024-10-04 06:01:46","96880","134630","95770","99207","117451"
"2024-10-03 06:01:36","96125","135123","95312","97306","116389"
"2024-10-02 06:01:53","96880","136431","96586","95748","115846"
"2024-10-01 06:01:44","96880","136123","97020","93198","116162"
"2024-09-30 06:01:41","96880","134436","94802","96169","116524"
"2024-09-29 06:01:40","96880","134436","94676","96067","115784"
"2024-09-28 06:01:31","96880","133134","95093","99029","114080"
"2024-09-27 06:01:40","99216","132000","96544","100299","113974"
"2024-09-26 06:01:42","99716","132516","96994","98921","116305"
"2024-09-25 06:01:37","99716","132996","98576","97077","117998"
"2024-09-24 06:01:34","99716","132996","95592","96567","118081"
"2024-09-23 06:01:42","101185","133336","94710","100009","118467"
"2024-09-22 06:01:40","99971","133336","94870","98374","116702"
"2024-09-21 06:01:41","99971","133683","95116","97234","114542"
"2024-09-20 06:01:46","105133","135368","96101","94499","115309"
"2024-09-19 06:01:40","105133","136758","95913","93434","117317"
"2024-09-18 06:01:28","105133","138491","95966","98824","116689"
"2024-09-17 06:01:40","105133","138718","94541","100340","117339"
"2024-09-16 06:01:46","104185","139487","96247","100578","115871"
"2024-09-15 06:01:44","104216","139307","96310","97946","115670"
"2024-09-14 06:01:41","99942","139547","98007","93787","116729"
"2024-09-13 06:01:36","99942","139292","97227","93878","117821"
"2024-09-12 06:01:44","99942","138427","97314","97462","118973"
"2024-09-11 06:01:36","99942","139027","95807","100759","118084"
"2024-09-10 06:01:45","99942","138256","96754","99403","116568"
"2024-09-09 06:01:32","99942","138343","98076","100078","116045"
"2024-09-08 06:01:38","100700","138386","99071","97224","115976"
"2024-09-07 06:01:52","100700","136772","100012","96087","118082"
"2024-09-06 06:01:50","99283","136909","97590","102424","117870"
"2024-09-05 06:01:47","99283","136580","97558","101893","116760"
"2024-09-04 06:01:58","98283","136580","98053","99346","117774"
"2024-09-03 06:01:30","101471","135909","98133","99242","116988"
"2024-09-02 06:01:45","101471","137290","98508","97574","116122"
"2024-09-01 06:01:49","101275","137045","98189","97278","117208"
"2024-08-31 06:01:38","100520","137045","97442","100870","116379"
"2024-08-30 06:01:40","100520","137222","98398","100910","114399"
"2024-08-29 06:01:47","100520","139377","98486","98129","114580"
"2024-08-28 06:01:41","98855","139377","98454","98385","114707"
"2024-08-27 06:01:35","98855","139604","100408","96492","116624"
"2024-08-26 06:01:11","98855","137015","99534","96320","117019"
"2024-08-25 18:01:04","98855","137015","98671","96610","116957"
"2024-08-24 06:01:05","97462","137092","98874","101870","115251"
"2024-08-23 06:01:14","99783","137233","","102155","115694"
"2024-08-22 06:01:02","99100","137233","","98787","114380"
"2024-08-21 06:01:04","99100","135775","102849","98312","114880"
"2024-08-20 06:01:09","99100","136476","102299","96809","116573"
"2024-08-19 06:00:58","102962","136233","","102278","116245"
"2024-08-18 06:00:43","103462","136233","99996","101321",""
"2024-08-17 06:00:45","103462","135259","100108","101718","116530"
"2024-08-16 06:00:43","103462","136100","100349","100515","116781"
"2024-08-15 06:01:04","109150","136558","101271","99449","116471"
"2024-08-14 06:00:56","110150","136935","100896","100190","116240"
"2024-08-13 06:01:08","110150","132995","100924","103549","116443"
"2024-08-12 06:01:06","110150","","100612","103343",""
"2024-08-11 06:01:02","","138249","100662","102478","117971"
"2024-08-10 06:01:03","","138499","101037","101621","117846"
"2024-08-09 06:00:57","","138830","","96693","117603"
"2024-08-08 13:28:37","","138830","","96474","119360"